구분,지원자 ID,지원경로,포지션,지원일자,코딩테스트,코딩테스트_점수,코딩테스트_결과,서류전형,면접전형,면접전형_결과,입사일자,불합격 사유,,,,**업데이트 일자:,2026.05.19
개발,7429950,원티드,FE,2026. 4. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,7429955,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429957,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429959,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429963,원티드,FE,2026. 4. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,7429966,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429967,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7451862,잡코리아,FE,2026. 4. 26,X,,,,,,,서류_병특아님,,,,,
개발,7463335,잡코리아,FE,2026. 4. 28,X,,,,,,,서류_외국인,,,,,
개발,7476365,잡코리아,FE,2026. 4. 29,X,,,,,,,서류_병특아님,,,,,
개발,7514125,잡코리아,FE,2026. 5. 6,X,,,,,,,서류_병특아님,,,,,
개발,7518087,잡코리아,FE,2026. 5. 6,X,,,,,,,서류_병특아님,,,,,
개발,7524586,원티드,FE,2026. 5. 7,X,,,,,,,서류_병특아님,,,,,
개발,7524596,원티드,FE,2026. 5. 7,O,,불합격,,,,,코테_기타,,,,,
개발,7524598,원티드,FE,2026. 5. 7,O,404,합격,불합격,X,,,서류_불합격,,,,,
개발,7524605,원티드,FE,2026. 5. 7,X,,,,,,,서류_병특아님,,,,,
개발,7524623,원티드,FE,2026. 5. 7,X,,,,,,,서류_병특아님,,,,,
개발,7524628,원티드,FE,2026. 5. 7,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7524637,원티드,FE,2026. 5. 7,X,,,,,,,서류_설문 미응답,,,,,
개발,7524641,원티드,FE,2026. 5. 7,X,,,,,,,서류_병특아님,,,,,
개발,7524722,잡코리아,FE,2026. 5. 7,X,,,,,,,서류_병특아님,,,,,
개발,7526646,사람인,FE,2026. 5. 7,X,,,,,,,서류_외국인,,,,,
개발,7551647,사람인,FE,2026. 5. 12,O,,불합격,,,,,코테_미응시,,,,,
개발,7555106,사람인,FE,2026. 5. 12,X,,,,,,,서류_병특아님,,,,,
